"ntwk","wyear","state","site_name","ts","start","enddate","latitude","longitude","elev_ft","county","huc","site_id"
"SNTL","2018","MT","Mom Creek","","2017-October","2100-January","  44.78","-113.12","   8800","Beaverhead","Dad Creek-Medicine Lodge Creek (100200011202)","SNTL:1287"
"SNTL","2017","AK","Flower Mountain","","2017-August","2100-January","  59.40","-136.28","   2510","Haines","Porcupine Creek (190103031003)","SNTL:1285"
"SNTL","2017","CA","Fredonyer Peak","","2016-October","2100-January","  40.69","-120.61","   7208","Lassen","Lower Dry Lake-Frontal Eagle Lake (180800030304)","SNTL:1277"
"SNTL","2017","MT","Slagamelt Lakes","","2017-September","2100-January","  45.37","-113.72","   8620","Beaverhead","Big Swamp Creek (100200040308)","SNTL:1286"
"SNTL","2017","NV","ONeil Creek","","2017-September","2017-October","  41.86","-115.08","   6520","Elko","Pole Creek (170402130106)","SNTL:1272"
"SNTL","2017","UT","Bobs Hollow","","2016-October","2100-January","  38.95","-112.15","   9319","Millard","North Fork Chalk Creek (160300051401)","SNTL:1278"
"SNTL","2017","UT","Santaquin Meadows","","2016-October","2100-January","  39.92","-111.72","   7835","Utah","Summit Creek (160202010301)","SNTL:1280"
"SNTL","2016","AK","Heen Latinee","","2015-October","2100-January","  58.70","-134.86","   2065","Juneau","Davies Creek (190103010401)","SNTL:1270"
"SNTL","2016","AK","Jack Wade Jct","","2015-October","2100-January","  64.15","-141.33","   3585","Southeast Fairbanks","Kal Creek (190401042204)","SNTL:1275"
"SNTL","2016","CO","Elkhead Divide","","2016-September","2100-January","  40.80","-107.10","   8780","Routt","Headwaters Elkhead Creek (140500010601)","SNTL:1252"
"SNTL","2016","ID","Iron Mine Creek","","2016-September","2100-January","  43.56","-113.72","   6340","Blaine","Upper Fish Creek (170402210401)","SNTL:1276"
"SNTL","2016","NM","Garita Peak","","2016-September","2100-January","  36.01","-106.55","  10160","Rio Arriba","Headwaters San Antonio Creek (130202020201)","SNTL:1173"
"SNTL","2016","UT","Mt Pennell","","2015-October","2100-January","  37.98","-110.79","   9209","Garfield","State Creek (140700010502)","SNTL:1269"
"SNTL","2015","AK","Lower Kachemak Creek","","2015-June","2100-January","  59.74","-150.69","   1915","Kenai Peninsula","Bradley Lake (190203011101)","SNTL:1265"
"SNTL","2015","AZ","Hawley Lake","","2015-September","2100-January","  33.97","-109.77","   8300","Apache","Trout Creek (150601020106)","SNTL:1271"
"SNTL","2015","NV","Fry Canyon","","2014-October","2100-January","  41.57","-115.94","   6798","Elko","Headwaters North Fork Humboldt River (160401020101)","SNTL:1262"
"SNTL","2015","UT","Lonesome Beaver","","2014-October","2100-January","  38.07","-110.77","   9410","Garfield","Headwaters North Wash (140700010301)","SNTL:1261"
"SNTL","2015","UT","Panguitch Lake RS","","2014-October","2100-January","  37.70","-112.65","   8350","Garfield","Ipson Creek (160300010402)","SNTL:1148"
"SNTL","2015","WA","Pinto Rock","","2014-October","2100-January","  46.32","-121.94","   4440","Skamania","Iron Creek (170800040405)","SNTL:1263"
"SNTL","2015","WA","Skate Creek","","2014-October","2100-January","  46.64","-121.83","   3770","Lewis","Silver Creek (170800040505)","SNTL:1257"
"SNTL","2014","AK","Alexander Lake","","2014-August","2100-January","  61.75","-150.89","    160","Matanuska-susitna","Headwaters Alexander Creek (190205051106)","SNTL:1267"
"SNTL","2014","AK","Fielding Lake","","2014-August","2100-January","  63.20","-145.63","   3000","Valdez-cordova","Fielding Lake (190405040302)","SNTL:1268"
"SNTL","2014","AK","Telaquana Lake","","2014-July","2100-January","  60.98","-153.92","   1275","Bethel","Upper Telaquana River (190304052303)","SNTL:1266"
"SNTL","2014","CA","State Line","","2014-June","2100-January","  41.99","-120.72","   5680","Modoc","Weed Valley-North Fork Willow Creek (180102040201)","SNTL:1258"
"SNTL","2014","CO","Sawtooth","","2014-September","2100-January","  40.14","-105.59","   9620","Boulder","Middle Saint Vrain Creek (101900050102)","SNTL:1251"
"SNTL","2014","NV","Dry Creek","","2013-October","2100-January","  40.86","-115.22","   6555","Elko","Upper Secret Creek (160401010601)","SNTL:1243"
"SNTL","2014","NV","Little Valley","","2013-October","2100-January","  39.25","-119.88","   6493","Washoe","Franktown Creek-Frontal Washoe Lake (160501020301)","SNTL:1242"
"SNTL","2014","NV","Pole Canyon","","2013-October","2100-January","  40.86","-115.12","   7760","Elko","Woods Creek-Franklin River (160600071101)","SNTL:1244"
"SNTL","2014","UT","Corral","","2013-October","2100-January","  39.66","-110.38","   8207","Carbon","Grassy Trail Reservoir-Grassy Trail Creek (140600070903)","SNTL:1236"
"SNTL","2014","UT","Sunflower Flat","","2013-October","2100-January","  38.05","-111.34","  10018","Garfield","Oak Creek (140700030406)","SNTL:1249"
"SNTL","2014","UT","Suu Ranch","","2013-October","2100-January","  37.60","-112.93","   8050","Iron","Crow Creek-Coal Creek (160300060306)","SNTL:1248"
"SNTL","2014","UT","Takka Wiiya","","2013-October","2100-January","  39.74","-113.98","   9122","Juab","Fifteenmile Creek (160203060804)","SNTL:1247"
"SNTL","2014","WA","Muckamuck","","2014-June","2100-January","  48.59","-119.87","   4470","Okanogan","West Fork Salmon Creek (170200062001)","SNTL:1259"
"SNTL","2013","NM","Rio Santa Barbara","","2013-September","2100-January","  36.07","-105.63","  10664","Taos","Outlet Rio Santa Barbara (130201010905)","SNTL:1254"
"SNTL","2013","UT","Bevans Cabin","","2012-October","2100-January","  40.46","-112.25","   6520","Tooele","Settlement Canyon (160203040401)","SNTL:1214"
"SNTL","2013","UT","Buckboard Flat","","2012-October","2100-January","  37.87","-109.45","   8924","San Juan","North Creek-Montezuma Creek (140802030103)","SNTL:1153"
"SNTL","2013","UT","GBRC HQ","","2012-October","2100-January","  39.32","-111.49","   8801","Sanpete","Ephraim Creek (160300040307)","SNTL:1221"
"SNTL","2013","UT","GBRC Meadows","","2012-October","2100-January","  39.30","-111.45","   9858","Sanpete","Ephraim Creek (160300040307)","SNTL:1222"
"SNTL","2013","UT","Hobble Creek","","2012-October","2100-January","  40.19","-111.36","   7377","Utah","Upper Diamond Fork (160202020304)","SNTL:1223"
"SNTL","2013","UT","Huntington Horse","","2012-October","2100-January","  39.62","-111.31","   9652","Sanpete","Gooseberry Creek (140600070201)","SNTL:1216"
"SNTL","2013","UT","Lasal Mountain-Lower","","2012-October","2100-January","  38.48","-109.29","   8783","San Juan","Horse Creek-Mill Creek (140300050404)","SNTL:1215"
"SNTL","2013","UT","Mt Baldy","","2012-October","2100-January","  39.14","-111.51","   9524","Sanpete","Headwaters Twelvemile Creek (160300040402)","SNTL:1224"
"SNTL","2013","UT","Redden Mine Lwr","","2012-October","2100-January","  40.68","-111.22","   8532","Summit","Thorn Creek-Beaver Creek (160201010103)","SNTL:1225"
"SNTL","2013","UT","Rees Flat","","2012-October","2100-January","  39.50","-111.73","   7206","Juab","Quaking Aspen Creek-Chicken Creek (160300050202)","SNTL:1217"
"SNTL","2013","UT","Thistle Flat","","2012-October","2100-January","  39.24","-111.52","   8787","Sanpete","Manti Canyon (160300040501)","SNTL:1226"
"SNTL","2013","UT","Upper Joes Valley","","2012-October","2100-January","  39.42","-111.25","   8596","Emery","Indian Creek (140600090201)","SNTL:1227"
"SNTL","2013","UT","Wrigley Creek","","2012-October","2100-January","  39.13","-111.36","   9327","Sanpete","Millsite Reservoir-Ferron Creek (140600090303)","SNTL:1228"
"SNTL","2013","UT","Yankee Reservoir","","2012-October","2100-January","  37.75","-112.77","   8692","Iron","Center Creek-Parowan Creek (160300060202)","SNTL:1197"
"SNTL","2012","AK","Mcneil River SGS","","2012-June","2100-January","  59.08","-154.28","    140","Kenai Peninsula","Mikfik Creek-Frontal Kamishak Bay (190206021207)","SNTL:1191"
"SNTL","2012","AZ","Bar M","","2012-September","2100-January","  34.86","-111.61","   6393","Coconino","Bar M Canyon (150602020601)","SNTL:1212"
"SNTL","2012","NV","Bird Creek","","2011-October","2100-January","  39.46","-114.65","   7537","White Pine","Timber Creek-Duck Creek (160600081304)","SNTL:1155"
"SNTL","2012","NV","Cave Mountain","","2011-October","2100-January","  39.16","-114.61","  10578","White Pine","Bastian Creek (160600080402)","SNTL:1152"
"SNTL","2012","NV","Columbia Basin","","2011-December","2100-January","  41.67","-116.07","   6471","Elko","Columbia Creek (170501050503)","SNTL:1204"
"SNTL","2012","NV","Corduroy Flat","","2011-December","2100-January","  39.00","-115.42","   8640","White Pine","Black Canyon Wash (160600121206)","SNTL:1209"
"SNTL","2012","NV","Defiance Mines","","2011-December","2100-January","  39.09","-114.90","   9306","White Pine","Cooper Wash-Willow Creek (160600081002)","SNTL:1210"
"SNTL","2012","NV","Golconda","","2011-October","2100-January","  40.88","-117.59","   6616","Humboldt","Pole Creek (160401080102)","SNTL:1195"
"SNTL","2012","NV","Jakes Creek","","2011-December","2100-January","  41.57","-115.03","   7374","Elko","Upper Jakes Creek (170402130308)","SNTL:1211"
"SNTL","2012","NV","Kalamazoo","","2011-October","2100-January","  39.56","-114.63","   7775","White Pine","Lower Spring Valley Creek (160600080700)","SNTL:1150"
"SNTL","2012","NV","Merritt Mountain","","2011-December","2100-January","  41.89","-115.86","   6908","Elko","Merritt Creek-Sheep Creek (170501020601)","SNTL:1207"
"SNTL","2012","NV","Midas","","2011-December","2100-January","  41.27","-116.80","   6635","Elko","Frazer Creek (160401060402)","SNTL:1206"
"SNTL","2012","NV","Silver Creek Nv","","2011-December","2100-January","  39.23","-114.24","   8215","White Pine","Headwaters Silver Creek (160203010806)","SNTL:1205"
"SNTL","2012","NV","Snowstorm Mtn","","2011-December","2100-January","  41.34","-116.98","   7384","Elko","First Creek-South Fork Little Humboldt River (160401090203)","SNTL:1208"
"SNTL","2012","NV","Stag Mountain","","2011-December","2100-January","  41.41","-115.45","   7628","Elko","Stag Creek (170501020101)","SNTL:1203"
"SNTL","2012","NV","Summit Lk","","2011-October","2100-January","  41.49","-119.00","   7615","Humboldt","Summit Lake (160402021301)","SNTL:1194"
"SNTL","2012","NV","Tent Mtn Lower","","2011-December","2100-January","  40.98","-115.17","   7104","Elko","Starr Creek (160401010704)","SNTL:1202"
"SNTL","2012","NV","Vacarro Springs","","2011-October","2100-January","  39.45","-115.98","   7890","Eureka","Torre Creek-Slough Creek-Frontal Diamond Valley (160600051503)","SNTL:1137"
"SNTL","2012","NV","White River Nv","","2011-December","2100-January","  38.95","-115.38","   7367","White Pine","Saddle Spring-White River (150100110302)","SNTL:1213"
"SNTL","2012","OR","Howard Prairie","","2012-September","2100-January","  42.22","-122.37","   4580","Jackson","Upper Jenny Creek (180102060401)","SNTL:1158"
"SNTL","2012","OR","Smith Ridge","","2011-October","2100-January","  44.30","-122.04","   3270","Linn","Smith River (170900040203)","SNTL:1167"
"SNTL","2012","UT","Brian Head","","2011-October","2100-January","  37.68","-112.86","  10039","Iron","Dry Lakes Creek (160300060201)","SNTL:1154"
"SNTL","2012","UT","Buck Pasture","","2011-November","2100-January","  40.84","-110.66","   9632","Summit","Upper Cottonwood Creek (140401070301)","SNTL:1192"
"SNTL","2012","UT","Gooseberry RS Up","","2011-October","2100-January","  38.79","-111.69","   8396","Sevier","Gooseberry Creek (160300030405)","SNTL:1184"
"SNTL","2012","WA","Satus Pass","","2012-August","2100-January","  45.99","-120.68","   3960","Klickitat","Headwaters Little Klickitat River (170701060301)","SNTL:1231"
